date,META,days_since_last_high,DGS1MO,DGS2,DGS10,T10Y2Y,BAMLC0A1CAAA,VIXCLS,DTWEXBGS,DEXJPUS,VIXCLS_cat,day_of_week_cat,T10Y2Y_binary
2014-01-02,54.709999084472656,0.0,0.01,0.39,3.0,2.61,0.6,14.23,93.8192,104.84,low_vol,3,0
2014-01-03,54.560001373291016,1.0,0.02,0.41,3.01,2.6,0.6,13.76,93.853,104.46,low_vol,4,0
2014-01-06,57.20000076293945,0.0,0.01,0.4,2.98,2.58,0.59,13.55,93.9109,104.38,low_vol,0,0
2014-01-07,57.91999816894531,0.0,0.01,0.4,2.96,2.56,0.59,12.92,94.0398,104.54,low_vol,1,0
2014-01-08,58.22999954223633,0.0,0.0,0.43,3.01,2.58,0.57,12.87,94.2181,104.87,low_vol,2,1
2014-01-09,57.220001220703125,1.0,0.01,0.44,2.97,2.53,0.57,12.89,94.3299,104.74,low_vol,3,0
2014-01-10,57.939998626708984,2.0,0.01,0.39,2.88,2.49,0.57,12.14,94.0045,104.06,low_vol,4,0
2014-01-13,55.90999984741211,3.0,0.0,0.39,2.84,2.45,0.57,13.28,93.899,103.31,low_vol,0,0
2014-01-14,57.7400016784668,4.0,0.0,0.39,2.88,2.49,0.57,12.28,94.0303,103.8,low_vol,1,1
2014-01-15,57.599998474121094,5.0,0.01,0.41,2.9,2.49,0.58,12.28,94.341,104.42,low_vol,2,0
2014-01-16,57.189998626708984,6.0,0.01,0.41,2.86,2.45,0.57,12.53,94.5507,104.32,low_vol,3,0
2014-01-17,56.29999923706055,7.0,0.01,0.4,2.84,2.44,0.56,12.44,94.5846,104.32,low_vol,4,0
2014-01-21,58.5099983215332,0.0,0.01,0.4,2.85,2.45,0.56,12.87,94.679,104.14,low_vol,1,0
2014-01-22,57.5099983215332,1.0,0.0,0.44,2.87,2.43,0.56,12.84,94.8479,104.36,low_vol,2,0
2014-01-23,56.630001068115234,2.0,0.01,0.39,2.79,2.4,0.58,13.77,94.8415,103.65,low_vol,3,0
2014-01-24,54.45000076293945,3.0,0.04,0.37,2.75,2.38,0.59,18.14,94.8555,102.41,med_vol,4,0
2014-01-27,53.54999923706055,4.0,0.04,0.37,2.78,2.41,0.58,17.42,94.9059,102.26,med_vol,0,1
2014-01-28,55.13999938964844,5.0,0.05,0.38,2.77,2.39,0.58,15.8,94.88,102.8,med_vol,1,0
2014-01-29,53.529998779296875,6.0,0.04,0.36,2.69,2.33,0.59,17.35,94.8621,102.2,med_vol,2,0
2014-01-30,61.08000183105469,0.0,0.04,0.36,2.72,2.36,0.58,17.29,95.1294,102.83,med_vol,3,1
2014-01-31,62.56999969482422,0.0,0.03,0.34,2.67,2.33,0.58,18.41,95.1774,102.28,med_vol,4,0
2014-02-03,61.47999954223633,1.0,0.04,0.3,2.61,2.31,0.6,21.44,95.2469,101.11,med_vol,0,0
2014-02-04,62.75,0.0,0.12,0.31,2.64,2.33,0.59,19.11,95.0438,101.62,med_vol,1,1
2014-02-05,62.189998626708984,1.0,0.13,0.32,2.7,2.38,0.59,19.95,95.0285,101.38,med_vol,2,1
2014-02-06,62.15999984741211,2.0,0.07,0.33,2.73,2.4,0.6,17.23,94.7177,101.84,med_vol,3,1
2014-02-07,64.31999969482422,0.0,0.1,0.3,2.71,2.41,0.6,15.29,94.7457,102.32,med_vol,4,1
2014-02-10,63.54999923706055,1.0,0.07,0.32,2.7,2.38,0.59,15.26,94.7189,102.14,med_vol,0,0
2014-02-11,64.8499984741211,0.0,0.05,0.35,2.75,2.4,0.59,14.51,94.6377,102.63,low_vol,1,1
2014-02-12,64.44999694824219,1.0,0.01,0.35,2.8,2.45,0.59,14.3,94.6209,102.48,low_vol,2,1
2014-02-14,67.08999633789062,1.0,0.01,0.32,2.75,2.43,0.59,13.57,94.2711,101.82,low_vol,4,1
2014-02-18,67.30000305175781,2.0,0.02,0.31,2.71,2.4,0.6,13.87,94.1934,102.31,low_vol,1,0
2014-02-19,68.05999755859375,0.0,0.04,0.33,2.73,2.4,0.59,15.5,94.38,102.3,med_vol,2,0
2014-02-20,69.62999725341797,0.0,0.02,0.34,2.76,2.42,0.59,14.79,94.6571,102.32,low_vol,3,1
2014-02-24,70.77999877929688,0.0,0.02,0.35,2.75,2.4,0.58,14.23,94.4042,102.44,low_vol,0,0
2014-02-25,69.8499984741211,1.0,0.04,0.34,2.7,2.36,0.58,13.67,94.4735,102.2,low_vol,1,0
2014-02-26,69.26000213623047,2.0,0.04,0.33,2.67,2.34,0.58,14.35,94.7754,102.36,low_vol,2,0
2014-02-27,68.94000244140625,3.0,0.04,0.33,2.65,2.32,0.58,14.04,94.6722,102.12,low_vol,3,0
2014-02-28,68.45999908447266,4.0,0.04,0.33,2.66,2.33,0.57,14.0,94.3879,102.08,low_vol,4,1
2014-03-04,68.80000305175781,6.0,0.06,0.33,2.7,2.37,0.57,14.1,94.6568,102.18,low_vol,1,1
2014-03-05,71.56999969482422,0.0,0.06,0.33,2.7,2.37,0.57,13.89,94.4679,102.32,low_vol,2,0
2014-03-06,70.83999633789062,1.0,0.06,0.37,2.74,2.37,0.57,14.21,93.9858,103.03,low_vol,3,0
2014-03-07,69.80000305175781,2.0,0.06,0.38,2.8,2.42,0.57,14.11,94.2532,103.38,low_vol,4,1
2014-03-10,72.02999877929688,0.0,0.05,0.37,2.79,2.42,0.57,14.2,94.3731,103.23,low_vol,0,0
2014-03-11,70.0999984741211,1.0,0.06,0.37,2.77,2.4,0.57,14.8,94.387,103.18,low_vol,1,0
2014-03-12,70.87999725341797,2.0,0.05,0.37,2.73,2.36,0.58,14.47,94.462,102.74,low_vol,2,0
2014-03-13,68.83000183105469,3.0,0.06,0.34,2.66,2.32,0.58,16.22,94.1872,102.12,med_vol,3,0
2014-03-14,67.72000122070312,4.0,0.05,0.36,2.65,2.29,0.59,17.82,94.243,101.46,med_vol,4,0
2014-03-18,69.19000244140625,6.0,0.07,0.36,2.68,2.32,0.59,14.52,94.2631,101.37,low_vol,1,0
2014-03-19,68.23999786376953,7.0,0.07,0.47,2.78,2.31,0.59,15.12,94.3752,101.54,med_vol,2,0
2014-03-20,66.97000122070312,8.0,0.06,0.45,2.79,2.34,0.59,14.52,94.9986,102.39,low_vol,3,1
2014-03-21,67.23999786376953,9.0,0.05,0.45,2.75,2.3,0.58,15.0,94.8547,102.38,med_vol,4,0
2014-03-24,64.0999984741211,10.0,0.05,0.47,2.74,2.27,0.58,15.09,94.759,102.21,med_vol,0,0
2014-03-25,64.88999938964844,11.0,0.05,0.47,2.75,2.28,0.57,14.02,94.6379,102.32,low_vol,1,1
2014-03-26,60.38999938964844,12.0,0.05,0.45,2.71,2.26,0.57,14.93,94.5281,102.3,low_vol,2,0
2014-03-27,60.970001220703125,13.0,0.02,0.45,2.69,2.24,0.57,14.62,94.3315,102.1,low_vol,3,0
2014-03-28,60.0099983215332,14.0,0.03,0.45,2.73,2.28,0.57,14.41,94.3683,102.92,low_vol,4,1
2014-03-31,60.2400016784668,15.0,0.03,0.44,2.73,2.29,0.54,13.88,94.2432,102.98,low_vol,0,1
2014-04-01,62.619998931884766,16.0,0.02,0.44,2.77,2.33,0.53,13.1,94.1244,103.52,low_vol,1,1
2014-04-02,62.720001220703125,17.0,0.02,0.47,2.82,2.35,0.52,13.09,94.3103,103.82,low_vol,2,1
2014-04-03,59.4900016784668,18.0,0.03,0.46,2.8,2.34,0.52,13.37,94.512,103.94,low_vol,3,0
2014-04-04,56.75,19.0,0.03,0.43,2.74,2.31,0.51,13.96,94.2191,103.39,low_vol,4,0
2014-04-07,56.95000076293945,20.0,0.03,0.41,2.71,2.3,0.51,15.57,94.0881,103.04,med_vol,0,0
2014-04-08,58.189998626708984,21.0,0.04,0.4,2.69,2.29,0.51,14.89,93.6579,102.12,low_vol,1,0
2014-04-09,62.40999984741211,22.0,0.03,0.37,2.71,2.34,0.52,13.82,93.6716,101.85,low_vol,2,1
2014-04-10,59.15999984741211,23.0,0.03,0.37,2.65,2.28,0.52,15.89,93.5123,101.43,med_vol,3,0
2014-04-11,58.529998779296875,24.0,0.04,0.37,2.63,2.26,0.52,17.03,93.6395,101.56,med_vol,4,0
2014-04-14,58.88999938964844,25.0,0.03,0.37,2.65,2.28,0.52,16.11,93.8046,101.81,med_vol,0,1
2014-04-15,59.09000015258789,26.0,0.03,0.39,2.64,2.25,0.52,15.61,93.9486,101.6,med_vol,1,0
2014-04-16,59.720001220703125,27.0,0.03,0.39,2.65,2.26,0.52,14.18,93.9461,102.3,low_vol,2,1
2014-04-17,58.939998626708984,28.0,0.02,0.43,2.73,2.3,0.51,13.36,93.8936,102.22,low_vol,3,1
2014-04-21,61.2400016784668,29.0,0.02,0.42,2.73,2.31,0.51,13.25,94.0337,102.56,low_vol,0,0
2014-04-22,63.029998779296875,30.0,0.02,0.45,2.73,2.28,0.51,13.19,94.0802,102.6,low_vol,1,0
2014-04-23,61.36000061035156,31.0,0.02,0.43,2.7,2.27,0.51,13.27,94.149,102.26,low_vol,2,0
2014-04-24,60.869998931884766,32.0,0.0,0.43,2.7,2.27,0.52,13.32,94.1294,102.34,low_vol,3,0
2014-04-25,57.709999084472656,33.0,0.01,0.43,2.68,2.25,0.52,14.06,94.1623,102.12,low_vol,4,0
2014-04-28,56.13999938964844,34.0,0.0,0.44,2.7,2.26,0.53,13.97,94.1374,102.46,low_vol,0,1
2014-04-29,58.150001525878906,35.0,0.02,0.44,2.71,2.27,0.53,13.71,94.0295,102.57,low_vol,1,1
2014-04-30,59.779998779296875,36.0,0.02,0.42,2.67,2.25,0.53,13.41,93.8896,102.14,low_vol,2,0
2014-05-01,61.150001525878906,37.0,0.02,0.41,2.63,2.22,0.53,13.25,93.8707,102.3,low_vol,3,0
2014-05-02,60.459999084472656,38.0,0.01,0.42,2.6,2.18,0.53,12.91,93.8182,102.34,low_vol,4,0
2014-05-05,61.220001220703125,39.0,0.01,0.43,2.63,2.2,0.53,13.29,93.7334,102.06,low_vol,0,1
2014-05-06,58.529998779296875,40.0,0.03,0.43,2.61,2.18,0.53,13.8,93.4324,101.57,low_vol,1,0
2014-05-07,57.38999938964844,41.0,0.03,0.41,2.62,2.21,0.53,13.4,93.4337,101.72,low_vol,2,1
2014-05-08,56.7599983215332,42.0,0.02,0.4,2.61,2.21,0.53,13.43,93.3686,101.66,low_vol,3,0
2014-05-09,57.2400016784668,43.0,0.02,0.4,2.62,2.22,0.53,12.92,93.6614,101.74,low_vol,4,1
2014-05-12,59.83000183105469,44.0,0.02,0.41,2.66,2.25,0.54,12.23,93.6537,102.1,low_vol,0,1
2014-05-13,59.83000183105469,45.0,0.03,0.39,2.61,2.22,0.53,12.13,93.6755,102.2,low_vol,1,0
2014-05-14,59.22999954223633,46.0,0.02,0.39,2.54,2.15,0.53,12.17,93.5968,101.75,low_vol,2,0
2014-05-15,57.91999816894531,47.0,0.01,0.38,2.5,2.12,0.53,13.17,93.7065,101.44,low_vol,3,0
2014-05-16,58.02000045776367,48.0,0.01,0.38,2.52,2.14,0.53,12.44,93.6073,101.5,low_vol,4,1
2014-05-19,59.209999084472656,49.0,0.01,0.36,2.54,2.18,0.53,12.42,93.502,101.26,low_vol,0,1
2014-05-20,58.560001373291016,50.0,0.04,0.35,2.52,2.17,0.53,12.96,93.6699,101.26,low_vol,1,0
2014-05-21,60.4900016784668,51.0,0.04,0.37,2.54,2.17,0.54,11.91,93.7629,101.44,low_vol,2,0
2014-05-22,60.52000045776367,52.0,0.03,0.37,2.56,2.19,0.54,12.03,93.6944,101.76,low_vol,3,1
2014-05-23,61.349998474121094,53.0,0.04,0.37,2.54,2.17,0.53,11.36,93.7042,101.88,low_vol,4,0
2014-05-27,63.47999954223633,54.0,0.03,0.39,2.52,2.13,0.53,11.51,93.8418,102.14,low_vol,1,0
2014-05-28,63.5099983215332,55.0,0.04,0.37,2.44,2.07,0.54,11.68,93.8793,101.78,low_vol,2,0
2014-05-29,63.83000183105469,56.0,0.05,0.37,2.45,2.08,0.53,11.57,93.6973,101.58,low_vol,3,1
2014-05-30,63.29999923706055,57.0,0.05,0.37,2.48,2.11,0.53,11.4,93.7606,101.77,low_vol,4,1
2014-06-02,63.08000183105469,58.0,0.04,0.39,2.54,2.15,0.53,11.58,94.0006,102.3,low_vol,0,0
2014-06-03,62.869998931884766,59.0,0.04,0.41,2.6,2.19,0.53,11.87,94.0536,102.42,low_vol,1,1
2014-06-04,63.34000015258789,60.0,0.04,0.41,2.61,2.2,0.53,12.08,94.1239,102.69,low_vol,2,1
2014-06-05,63.189998626708984,61.0,0.03,0.4,2.59,2.19,0.53,11.68,93.9732,102.44,low_vol,3,0
2014-06-06,62.5,62.0,0.02,0.41,2.6,2.19,0.53,10.73,93.9069,102.5,low_vol,4,0
2014-06-09,62.880001068115234,63.0,0.03,0.43,2.62,2.19,0.53,11.15,93.9628,102.52,low_vol,0,0
2014-06-10,65.7699966430664,64.0,0.04,0.45,2.64,2.19,0.53,10.99,94.0638,102.37,low_vol,1,0
2014-06-11,65.77999877929688,65.0,0.03,0.44,2.65,2.21,0.53,11.6,93.9744,101.94,low_vol,2,1
2014-06-12,64.29000091552734,66.0,0.02,0.42,2.58,2.16,0.53,12.56,93.8155,101.83,low_vol,3,0
2014-06-13,64.5,67.0,0.02,0.45,2.6,2.15,0.53,12.18,93.9168,102.06,low_vol,4,0
2014-06-16,64.19000244140625,68.0,0.03,0.49,2.61,2.12,0.53,12.65,93.8639,101.82,low_vol,0,0
2014-06-17,64.4000015258789,69.0,0.03,0.51,2.66,2.15,0.52,12.06,94.0829,102.18,low_vol,1,1
2014-06-18,65.5999984741211,70.0,0.03,0.48,2.61,2.13,0.53,10.61,94.0525,102.16,low_vol,2,0
2014-06-19,64.33999633789062,71.0,0.01,0.48,2.64,2.16,0.52,10.62,93.752,101.84,low_vol,3,1
2014-06-20,64.5,72.0,0.01,0.5,2.63,2.13,0.52,10.85,93.7591,102.14,low_vol,4,0
2014-06-23,65.37000274658203,73.0,0.02,0.48,2.63,2.15,0.52,10.98,93.628,101.9,low_vol,0,1
2014-06-24,65.72000122070312,74.0,0.01,0.49,2.59,2.1,0.52,12.13,93.7093,102.13,low_vol,1,0
2014-06-25,67.44000244140625,75.0,0.01,0.48,2.57,2.09,0.52,11.59,93.5851,101.75,low_vol,2,0
2014-06-26,67.12999725341797,76.0,0.01,0.46,2.53,2.07,0.53,11.63,93.5471,101.66,low_vol,3,0
2014-06-27,67.5999984741211,77.0,0.02,0.45,2.54,2.09,0.53,11.26,93.3983,101.39,low_vol,4,1
2014-06-30,67.29000091552734,78.0,0.02,0.47,2.53,2.06,0.53,11.57,93.2058,101.28,low_vol,0,0
2014-07-01,68.05999755859375,79.0,0.03,0.47,2.58,2.11,0.53,11.15,93.1365,101.51,low_vol,1,1
2014-07-02,66.44999694824219,80.0,0.02,0.49,2.64,2.15,0.53,10.82,93.2478,101.76,low_vol,2,1
2014-07-03,66.29000091552734,81.0,0.01,0.52,2.65,2.13,0.53,10.32,93.3149,102.19,low_vol,3,0
2014-07-07,65.29000091552734,82.0,0.02,0.52,2.63,2.11,0.53,11.33,93.3803,101.84,low_vol,0,0
2014-07-08,62.7599983215332,83.0,0.02,0.51,2.58,2.07,0.52,11.98,93.323,101.53,low_vol,1,0
2014-07-09,64.97000122070312,84.0,0.03,0.51,2.57,2.06,0.53,11.65,93.228,101.7,low_vol,2,0
2014-07-10,64.87000274658203,85.0,0.02,0.46,2.55,2.09,0.53,12.59,93.3152,101.26,low_vol,3,1
2014-07-11,66.33999633789062,86.0,0.02,0.48,2.53,2.05,0.53,12.08,93.4171,101.33,low_vol,4,0
2014-07-14,67.9000015258789,87.0,0.02,0.48,2.55,2.07,0.53,11.82,93.4101,101.58,low_vol,0,1
2014-07-15,67.16999816894531,88.0,0.02,0.49,2.56,2.07,0.52,11.96,93.5796,101.62,low_vol,1,0
2014-07-16,67.66000366210938,89.0,0.02,0.5,2.55,2.05,0.53,11.0,93.5991,101.69,low_vol,2,0
2014-07-17,66.41000366210938,90.0,0.02,0.47,2.47,2.0,0.52,14.54,93.6586,101.3,low_vol,3,0
2014-07-18,68.41999816894531,91.0,0.03,0.51,2.5,1.99,0.53,12.06,93.6608,101.37,low_vol,4,0
2014-07-21,69.4000015258789,92.0,0.02,0.51,2.49,1.98,0.53,12.81,93.6069,101.34,low_vol,0,0
2014-07-22,69.2699966430664,93.0,0.03,0.49,2.48,1.99,0.53,12.24,93.6306,101.54,low_vol,1,1
2014-07-23,71.29000091552734,94.0,0.03,0.5,2.48,1.98,0.53,11.52,93.5951,101.5,low_vol,2,0
2014-07-24,74.9800033569336,0.0,0.04,0.53,2.52,1.99,0.53,11.84,93.6836,101.82,low_vol,3,1
2014-07-25,75.19000244140625,0.0,0.03,0.53,2.48,1.95,0.53,12.69,93.8294,101.81,low_vol,4,0
2014-07-28,74.91999816894531,1.0,0.03,0.54,2.5,1.96,0.52,12.56,93.83,101.82,low_vol,0,1
2014-07-29,73.70999908447266,2.0,0.03,0.54,2.47,1.93,0.52,13.28,94.0443,102.12,low_vol,1,0
2014-07-30,74.68000030517578,3.0,0.03,0.56,2.57,2.01,0.53,13.33,94.3473,102.9,low_vol,2,1
2014-07-31,72.6500015258789,4.0,0.01,0.53,2.58,2.05,0.52,16.95,94.4467,102.75,med_vol,3,1
2014-08-01,72.36000061035156,5.0,0.01,0.47,2.52,2.05,0.52,17.03,94.4754,102.45,med_vol,4,0
2014-08-04,73.51000213623047,6.0,0.02,0.47,2.51,2.04,0.52,15.12,94.448,102.47,med_vol,0,0
2014-08-05,72.69000244140625,7.0,0.03,0.47,2.49,2.02,0.52,16.87,94.6754,102.77,med_vol,1,0
2014-08-06,72.47000122070312,8.0,0.03,0.48,2.49,2.01,0.52,16.37,94.6092,102.34,med_vol,2,0
2014-08-07,73.16999816894531,9.0,0.03,0.44,2.43,1.99,0.52,16.66,94.6364,102.06,med_vol,3,0
2014-08-08,73.05999755859375,10.0,0.03,0.45,2.44,1.99,0.52,15.77,94.6027,101.91,med_vol,4,0
2014-08-11,73.44000244140625,11.0,0.03,0.47,2.44,1.97,0.52,14.23,94.4767,102.14,low_vol,0,0
